method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
AL#,WpK,WpK,-,0,0,0,0,21495874,130876645,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794132,4979431,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794146,4979429,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790449,4959841,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791568,4965304,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379721,130388392,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,595068,3556015,0,1,556,23,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,3048,7833,428535,2879285,26324,166595,0,2,584,24,None
IF-AL#,RandomWp100,RandomWp100,adg,2422,7963,410984,2735080,29478,186315,3,8,529,30,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3343,8606,405617,2677593,30908,197852,2,10,490,32,None
IF-L#,RandomWp100,RandomWp100,adg,2350,8399,408907,2711509,35621,229948,0,12,515,34,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,391865,2204977,145,42,142,64,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,777090,12646730,15,13,523,35,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,3144,8114,575591,11510193,32726,564353,42,6,321,27,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2145,6327,577199,11539551,28683,485176,56,2,382,23,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,3021,7510,570100,11398996,40534,721004,119,15,224,35,None
IF-L#,RandomWord1000,RandomWord1000,adg,2168,6684,571897,11436820,39080,685204,84,13,286,33,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,700199,12284058,132,68,123,89,None
AL#,WpK,WpK,-,0,0,0,0,21504728,130956668,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794132,4979431,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794146,4979429,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790449,4959841,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791568,4965304,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379721,130388392,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,588120,3522042,2,6,549,28,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,2979,7648,417335,2787673,26527,168778,2,3,539,25,None
IF-AL#,RandomWp100,RandomWp100,adg,2126,6717,409692,2723127,31656,198333,1,9,527,31,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3298,9028,384530,2491928,32546,202229,5,16,416,38,None
IF-L#,RandomWp100,RandomWp100,adg,2661,9285,405114,2687898,34026,215082,1,14,511,36,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,394342,2214980,160,45,152,67,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,781583,12648165,6,12,532,34,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2671,6327,578668,11574046,28653,484472,45,2,393,23,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2178,6560,574021,11482090,34941,589779,79,7,318,28,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,2984,7691,574318,11483979,35974,640300,39,11,300,31,None
IF-L#,RandomWord1000,RandomWord1000,adg,2457,8160,573236,11457740,34386,601304,27,9,312,29,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,698869,12260396,128,63,107,84,None
AL#,WpK,WpK,-,0,0,0,0,21504729,130956723,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794251,4979940,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794262,4979924,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790365,4959433,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791661,4965828,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379431,130386726,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,585827,3500370,0,9,541,31,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,3101,8012,419857,2805911,25284,158451,2,2,552,24,None
IF-AL#,RandomWp100,RandomWp100,adg,2380,8651,414990,2768723,27828,174808,1,5,539,27,None
IF-L#,RandomWp100,RandomWp100,sep_seq,2951,7610,400378,2639684,30626,194496,4,11,474,33,None
IF-L#,RandomWp100,RandomWp100,adg,2335,8168,408952,2725537,41100,265555,0,17,543,39,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,391592,2211412,140,46,126,68,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,781841,12656105,0,12,539,34,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2959,7278,576567,11532169,30302,521826,65,3,308,25,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2287,7276,573171,11460134,33772,568174,70,6,344,27,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,2949,7271,573075,11464741,39355,701961,96,14,271,34,None
IF-L#,RandomWord1000,RandomWord1000,adg,2310,7048,570935,11408847,37196,644410,74,11,283,31,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,699417,12279430,129,61,131,82,None
AL#,WpK,WpK,-,0,0,0,0,21504599,130956191,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794131,4979450,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794157,4979505,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790496,4960111,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791672,4965839,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379684,130388355,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,585681,3500854,0,9,540,31,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,2689,6406,415963,2777668,26981,172765,3,4,538,26,None
IF-AL#,RandomWp100,RandomWp100,adg,2267,7775,417278,2786639,24881,158231,2,2,538,24,None
IF-L#,RandomWp100,RandomWp100,sep_seq,2803,6996,402875,2652794,26475,166067,3,5,473,27,None
IF-L#,RandomWp100,RandomWp100,adg,2433,9018,407946,2710055,30134,191460,0,9,504,31,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,395335,2224748,160,45,145,67,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,777074,12629026,33,15,491,37,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2796,6543,577304,11545833,28311,484268,70,4,287,23,None
IF-AL#,RandomWord1000,RandomWord1000,adg,1924,5687,577876,11562208,28418,483776,80,2,293,23,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,3236,8478,573253,11464041,40058,707110,33,13,306,34,None
IF-L#,RandomWord1000,RandomWord1000,adg,2109,7204,567378,11352658,40608,707929,14,13,327,34,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,701236,12278186,133,64,121,85,None
AL#,WpK,WpK,-,0,0,0,0,21504691,130956508,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794249,4979930,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794199,4979649,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790438,4959858,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791638,4965737,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21378997,130384837,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,586237,3519996,1,2,553,24,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,3181,8144,416361,2785044,27084,171692,1,6,541,28,None
IF-AL#,RandomWp100,RandomWp100,adg,2082,6413,422156,2824825,25429,160437,0,0,563,22,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3244,7960,379700,2440435,30426,189806,1,11,369,33,None
IF-L#,RandomWp100,RandomWp100,adg,2506,8708,406823,2704472,30630,190677,0,10,509,32,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,384494,2143587,143,44,136,66,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,774478,12620033,14,12,525,34,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2717,6559,576707,11539035,29598,505145,25,4,424,24,None
IF-AL#,RandomWord1000,RandomWord1000,adg,1977,5616,577009,11536175,29838,504217,13,3,430,24,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,3022,7674,571969,11439756,40597,721601,101,13,259,35,None
IF-L#,RandomWord1000,RandomWord1000,adg,2443,8227,567057,11343234,41266,724514,49,14,295,35,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,702977,12291340,103,63,144,85,None
AL#,WpK,WpK,-,0,0,0,0,21504686,130956505,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794207,4979727,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794191,4979646,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790410,4959609,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791691,4965967,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21378766,130383677,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,594106,3552941,0,1,555,23,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,2961,7590,408942,2703837,28267,180287,0,5,506,27,None
IF-AL#,RandomWp100,RandomWp100,adg,2467,8628,422608,2835529,30716,193276,4,8,570,30,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3276,8481,397321,2603435,32464,204735,1,12,481,34,None
IF-L#,RandomWp100,RandomWp100,adg,2301,7597,405836,2697903,31847,199322,0,11,510,33,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,400288,2258236,122,49,152,71,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,777652,12634428,1,12,570,34,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2953,7156,579410,11593028,28080,481367,68,3,310,23,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2120,6530,577483,11550837,33008,567794,114,7,342,27,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,3091,6902,572495,11454183,34695,617897,146,12,216,30,None
IF-L#,RandomWord1000,RandomWord1000,adg,2371,8325,570503,11419988,41816,728529,10,14,326,35,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,698947,12264697,136,64,112,86,None
AL#,WpK,WpK,-,0,0,0,0,21504762,130956781,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794109,4979376,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794147,4979409,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790460,4959949,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791627,4965622,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379457,130387723,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,591437,3527391,0,6,545,28,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,3042,8064,409054,2704663,27418,173266,0,5,506,27,None
IF-AL#,RandomWp100,RandomWp100,adg,2453,8447,401701,2638941,30006,187324,0,9,479,31,None
IF-L#,RandomWp100,RandomWp100,sep_seq,2897,7445,380822,2453616,34221,213384,1,14,384,36,None
IF-L#,RandomWp100,RandomWp100,adg,2210,7275,407905,2710279,28796,181871,1,8,504,30,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,388363,2177465,134,50,135,72,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,776786,12643029,6,13,553,35,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2823,6780,578190,11565221,27268,463578,65,2,302,22,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2563,8553,573923,11486036,33294,565628,9,6,428,27,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,3227,8461,569893,11401094,42212,745014,34,16,306,36,None
IF-L#,RandomWord1000,RandomWord1000,adg,2408,7872,572012,11432550,35535,622885,38,11,333,30,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,698907,12267288,143,52,110,74,None
AL#,WpK,WpK,-,0,0,0,0,21504817,130957029,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794097,4979317,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794191,4979646,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790454,4959905,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791642,4965671,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379333,130386634,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,583664,3499348,3,7,543,29,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,3131,8279,418008,2792310,26318,167274,33,3,545,25,None
IF-AL#,RandomWp100,RandomWp100,adg,2333,7601,420032,2808497,25004,158016,1,2,554,24,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3463,8749,393213,2568632,32904,208499,0,13,441,35,None
IF-L#,RandomWp100,RandomWp100,adg,2236,7400,402206,2673901,38605,246301,0,16,510,38,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,387161,2171897,144,50,136,71,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,779770,12648743,4,14,535,36,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2674,6109,580398,11607024,25770,441443,73,2,303,21,None
IF-AL#,RandomWord1000,RandomWord1000,adg,1998,5693,578091,11559178,29606,504070,110,3,277,24,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,2930,7137,576670,11534421,31852,560614,141,8,228,27,None
IF-L#,RandomWord1000,RandomWord1000,adg,2183,6403,573722,11475100,32605,577715,119,10,249,28,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,701105,12277470,120,65,118,86,None
AL#,WpK,WpK,-,0,0,0,0,21504643,130956347,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794225,4979848,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794196,4979651,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790417,4959698,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791658,4965771,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379467,130386948,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,586072,3499723,1,9,539,31,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,2894,7156,418693,2798137,25984,166742,0,2,543,24,None
IF-AL#,RandomWp100,RandomWp100,adg,2474,8827,410101,2717487,29263,183368,0,8,513,30,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3013,7923,390223,2537682,31532,199472,1,11,431,33,None
IF-L#,RandomWp100,RandomWp100,adg,2348,8023,407050,2707910,33023,208293,0,12,511,34,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,391227,2207741,163,45,140,67,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,777183,12639347,26,11,513,33,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2959,7323,577293,11559756,31702,544031,81,5,292,26,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2063,6048,579289,11587900,26083,441737,38,2,348,21,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,2977,7281,574418,11482879,34772,619163,86,10,254,30,None
IF-L#,RandomWord1000,RandomWord1000,adg,2458,8527,571067,11424187,34523,601768,30,9,306,29,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,699373,12271887,103,61,113,82,None
AL#,WpK,WpK,-,0,0,0,0,21504688,130956564,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794132,4979431,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794157,4979505,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790445,4959819,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791657,4965792,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379477,130387217,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,583434,3492572,1,11,539,33,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,2988,7765,404459,2665980,28587,180169,6,8,485,30,None
IF-AL#,RandomWp100,RandomWp100,adg,2058,6042,420788,2813545,24685,155928,1,1,553,23,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3069,8219,396490,2603414,32932,208513,7,13,471,35,None
IF-L#,RandomWp100,RandomWp100,adg,2124,6476,382429,2469745,32445,203169,5,11,386,33,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,391500,2203510,145,52,137,74,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,767160,12595581,70,12,461,34,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,3064,7781,574678,11494277,34089,587479,14,7,401,28,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2144,6403,578692,11581404,30799,524497,76,4,325,25,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,3001,7507,570264,11403182,39489,703123,36,14,306,34,None
IF-L#,RandomWord1000,RandomWord1000,adg,2309,7903,573117,11463262,34493,602432,22,9,316,29,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,699434,12276966,136,71,118,93,None
AL#,WpK,WpK,-,0,0,0,0,21504776,130956820,0,0,558,22,None
IF-AL#,WpK,WpK,sep_seq,2857,7041,20698507,126002384,794224,4979824,0,0,558,22,None
IF-AL#,WpK,WpK,adg,2082,6413,20698107,126000853,794228,4979782,0,0,558,22,None
IF-L#,WpK,WpK,sep_seq,2857,7041,20673925,125873699,790464,4959897,0,0,558,22,None
IF-L#,WpK,WpK,adg,2082,6413,20673521,125872153,791685,4965888,0,0,558,22,None
L#,WpK,WpK,-,0,0,0,0,21379902,130389443,0,0,558,22,None
AL#,RandomWp100,RandomWp100,-,0,0,0,0,590604,3522034,0,8,541,30,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,2816,6973,421147,2814282,24652,156273,2,0,556,22,None
IF-AL#,RandomWp100,RandomWp100,adg,2490,8726,417213,2785597,27172,172694,2,6,544,28,None
IF-L#,RandomWp100,RandomWp100,sep_seq,3583,9074,401741,2649898,31092,198253,3,11,476,33,None
IF-L#,RandomWp100,RandomWp100,adg,2429,7911,397627,2621189,34204,214299,6,14,475,36,None
L#,RandomWp100,RandomWp100,-,0,0,0,0,392246,2209275,139,46,147,68,None
AL#,RandomWord1000,RandomWord1000,-,0,0,0,0,778713,12644674,2,14,535,36,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,2972,7231,577425,11549202,28363,484459,64,3,376,23,None
IF-AL#,RandomWord1000,RandomWord1000,adg,2338,7316,576412,11522003,31762,544149,34,6,338,26,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,3104,8031,571113,11429098,36319,641615,33,11,304,31,None
IF-L#,RandomWord1000,RandomWord1000,adg,2095,7221,571711,11436657,34737,602828,20,8,320,29,None
L#,RandomWord1000,RandomWord1000,-,0,0,0,0,700720,12281462,137,67,123,89,None
